insee_code_commune,adedpe202006_nb_classe_ges_c,adedpe202006_nb_classe_ene_c,adedpe202006_nb_classe_ene_e,adedpe202006_nb_classe_ges_d,adedpe202006_nb_classe_ene_b,adedpe202006_nb_classe_ene_d,adedpe202006_nb_classe_ene_nc,adedpe202006_nb_classe_ges_a,adedpe202006_nb_classe_ges_e,adedpe202006_nb_classe_ges_b,bnb_id,adedpe202006_nb_classe_ene_a,adedpe202006_nb_classe_ene_g,adedpe202006_nb_classe_ene_f,adedpe202006_nb_classe_ges_f,adedpe202006_nb_classe_ges_nc,adedpe202006_nb_classe_ges_g,st_x,st_y,geometry
1024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01024000AA0168_8a76dd0daf2fc06,0.0,0.0,0.0,0.0,0.0,0.0,5.159768576086487,46.294976081909915,POINT (5.159768576086487 46.29497608190992)
1024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,01024000AA0193_53eb37ee77b8ce0,0.0,0.0,0.0,0.0,0.0,0.0,5.156414417442694,46.29271963155146,POINT (5.156414417442694 46.29271963155146)
1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AA0218_f41ef9df9beb17c,0.0,0.0,1.0,0.0,0.0,1.0,5.156052617231638,46.29393923870057,POINT (5.156052617231638 46.29393923870057)
1024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,01024000AB0011_abb55f9d449d132,0.0,0.0,0.0,0.0,0.0,0.0,5.157976297023499,46.28951916501658,POINT (5.157976297023499 46.28951916501658)
1024,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,01024000AB0020_506f63039be9fb3,0.0,0.0,0.0,0.0,0.0,0.0,5.158336052073895,46.28825918296646,POINT (5.158336052073895 46.28825918296646)
1024,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AB0033_be7d912dbfa82ad,0.0,0.0,0.0,0.0,0.0,0.0,5.159355071035659,46.28728202053836,POINT (5.159355071035659 46.28728202053836)
1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,01024000AB0034_ed02120fb484b4c,1.0,0.0,0.0,0.0,0.0,0.0,5.159516406699864,46.28702767198337,POINT (5.159516406699864 46.28702767198337)
1024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01024000AB0039_8e9a19cfa503254,0.0,0.0,0.0,0.0,1.0,0.0,5.159757500015579,46.28741607873239,POINT (5.159757500015579 46.28741607873239)
1024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01024000AB0051_a226109c18c4c87,0.0,0.0,0.0,0.0,0.0,0.0,5.159428130640246,46.28795876257939,POINT (5.159428130640246 46.28795876257939)
1024,2.0,7.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,01024000AB0053_c39498f2f43067e,1.0,0.0,0.0,0.0,0.0,0.0,5.159312730140549,46.2884552732563,POINT (5.159312730140549 46.2884552732563)
1024,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,01024000AB0055_3b75c242ca03ba3,0.0,0.0,0.0,0.0,0.0,0.0,5.160115879441324,46.28839127329726,POINT (5.160115879441324 46.28839127329726)
1024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,01024000AB0070_a6b561bf7049a45,0.0,0.0,1.0,0.0,0.0,0.0,5.16043195659641,46.289488842452705,POINT (5.16043195659641 46.28948884245271)
1024,2.0,8.0,1.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,01024000AB0073_5ca568e2c3f869d,0.0,0.0,0.0,0.0,0.0,0.0,5.16007966081464,46.28895307853938,POINT (5.16007966081464 46.28895307853938)
1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01024000AB0086_fb6c7c907ba09d6,0.0,0.0,0.0,0.0,0.0,0.0,5.1592885339969445,46.290467159835586,POINT (5.159288533996945 46.29046715983559)
